,date,B1i,B1f,B2i,B2f,B3i,B3f,B4i,B4f
0,11/07/2020,2020-07-11 02:17:52.229080,2020-07-11 02:53:03.371441,,,,,,
0,21/07/2020,2020-07-21 06:20:07.784879,2020-07-21 06:51:49.212144,,,,,,
0,28/10/2020,2020-10-28 12:44:00.815730,2020-10-28 13:46:27.736706,,,,,,
0,17/11/2020,2020-11-17 15:18:57.620343,2020-11-17 15:53:26.824046,2020-11-17 18:13:15.487136,2020-11-17 18:55:12.086079,,,,
0,18/11/2020,2020-11-18 19:08:18.257151,2020-11-18 19:33:28.216694,2020-11-18 19:46:31.158856,2020-11-18 20:12:37.042699,,,,
0,19/11/2020,2020-11-19 06:03:33.125539,2020-11-19 06:38:02.328960,2020-11-19 15:54:29.203953,2020-11-19 16:37:21.726995,,,,
0,21/11/2020,2020-11-21 09:39:59.905981,2020-11-21 10:12:22.092022,2020-11-21 10:05:59.905981,2020-11-21 10:28:22.092022,2020-11-21 10:39:33.185304,2020-11-21 11:03:47.220266,2020-11-21 11:22:25.708828,2020-11-21 11:55:03.063892
0,23/11/2020,2020-11-23 22:49:28.444799,2020-11-23 23:25:49.496859,,,,,,
0,24/11/2020,2020-11-24 00:52:30.466999,2020-11-24 01:25:07.821339,2020-11-24 19:07:41.645280,2020-11-24 19:53:21.941299,,,,
0,27/11/2020,2020-11-27 18:46:25.046250,2020-11-27 19:18:06.476491,,,,,,
0,08/12/2020,2020-12-08 19:07:36.667314,2020-12-08 19:35:34.390984,,,,,,
0,06/06/2021,2021-06-06 13:06:36.423827,2021-06-06 13:29:54.472732,,,,,,
0,23/06/2021,2021-06-23 06:59:13.985631,2021-06-23 07:40:10.168648,,,,,,
0,28/06/2021,2021-06-28 09:21:50.883012,2021-06-28 09:52:21.853085,,,,,,
0,12/07/2021,2021-07-12 09:40:35.836677,2021-07-12 10:02:58.016442,,,,,,
0,13/07/2021,2021-07-13 18:27:08.989314,2021-07-13 19:11:55.624409,,,,,,
0,15/07/2021,2021-07-15 21:05:05.303353,2021-07-15 22:18:43.314111,,,,,,
0,20/07/2021,2021-07-20 16:12:34.567851,2021-07-20 16:43:20.062568,,,,,,
0,22/07/2021,2021-07-22 08:48:18.400144,2021-07-22 09:15:20.196900,,,,,,
0,23/07/2021,2021-07-23 10:05:31.828804,2021-07-23 10:27:54.008811,,,,,,
0,17/08/2021,2021-08-17 10:27:18.242680,2021-08-17 11:02:43.361268,,,,,,
0,21/08/2021,2021-08-21 18:27:08.795591,2021-08-21 18:59:46.141925,2021-08-21 19:17:28.701560,2021-08-21 19:50:06.047934,,,,
0,22/08/2021,2021-08-22 00:20:24.061516,2021-08-22 00:44:38.090443,2021-08-22 05:57:48.613265,2021-08-22 06:25:46.338505,,,,
0,28/08/2021,2021-08-28 10:09:01.643800,2021-08-28 10:41:38.982771,2021-08-28 11:13:20.401103,2021-08-28 11:27:19.263019,,,,
0,30/08/2021,2021-08-30 01:19:13.959247,2021-08-30 01:59:18.698648,2021-08-30 14:42:27.800396,2021-08-30 15:10:25.525354,,,,
0,07/09/2021,2021-09-07 04:10:14.182815,2021-09-07 04:44:43.376580,2021-09-07 05:13:37.025556,2021-09-07 05:35:59.205320,,,,
0,20/09/2021,2021-09-20 20:37:01.081911,2021-09-20 21:15:13.970983,2021-09-20 21:37:36.149983,2021-09-20 22:23:16.431881,2021-09-20 22:34:27.521301,2021-09-20 22:45:38.610680,,
0,25/10/2021,2021-10-25 00:46:43.051664,2021-10-25 01:37:02.957151,2021-10-25 15:55:00.684611,2021-10-25 16:19:14.713015,2021-10-25 19:49:53.576065,2021-10-25 20:30:54.239765,2021-10-25 21:51:03.718607,2021-10-25 22:27:24.761454
0,27/10/2021,2021-10-27 00:26:43.058937,2021-10-27 00:52:48.935739,,,,,,
0,28/10/2021,2021-10-28 15:22:41.837715,2021-10-28 16:49:22.785807,,,,,,
0,12/11/2021,2021-11-12 19:22:20.190826,2021-11-12 19:50:17.916106,,,,,,
