,date,B1i,B1f,B2i,B2f,B3i,B3f,B4i,B4f
0,11/07/2020,2020-07-11 02:15:33.406934,2020-07-11 02:56:22.982085,,,,,,
0,21/07/2020,2020-07-21 06:15:00.929082,2020-07-21 06:48:29.892755,,,,,,
0,28/10/2020,2020-10-28 12:51:35.607556,2020-10-28 13:46:11.542926,,,,,,
0,17/11/2020,2020-11-17 15:23:36.277017,2020-11-17 15:59:47.235946,2020-11-17 18:15:23.095554,2020-11-17 18:57:54.049504,,,,
0,18/11/2020,2020-11-18 19:08:34.289890,2020-11-18 19:29:16.274427,2020-11-18 19:50:16.246142,2020-11-18 20:05:57.247052,,,,
0,19/11/2020,2020-11-19 06:08:29.133256,2020-11-19 06:38:23.103534,2020-11-19 16:00:44.227400,2020-11-19 16:39:33.600754,,,,
0,21/11/2020,2020-11-21 09:39:38.659573,2020-11-21 10:12:53.620532,2020-11-21 10:04:38.659573,2020-11-21 10:26:53.620532,2020-11-21 10:47:05.597687,2020-11-21 10:57:53.585450,2020-11-21 11:33:51.546340,2020-11-21 11:52:03.529969
0,23/11/2020,2020-11-23 22:56:21.917396,2020-11-23 23:33:13.876194,,,,,,
0,24/11/2020,2020-11-24 00:57:28.771453,2020-11-24 01:23:09.750357,2020-11-24 19:15:40.179898,2020-11-24 19:42:52.150828,,,,
0,27/11/2020,2020-11-27 18:51:23.640459,2020-11-27 19:13:51.617878,,,,,,
0,08/12/2020,2020-12-08 19:07:51.856909,2020-12-08 19:31:35.831403,,,,,,
0,06/06/2021,2021-06-06 11:20:25.735932,2021-06-06 11:50:43.731963,,,,,,
0,23/06/2021,2021-06-23 07:03:08.242200,2021-06-23 07:49:01.195121,,,,,,
0,28/06/2021,2021-06-28 09:28:43.310780,2021-06-28 10:07:14.271204,,,,,,
0,12/07/2021,2021-07-12 09:35:52.669048,2021-07-12 10:12:22.630992,,,,,,
0,13/07/2021,2021-07-13 18:27:39.302980,2021-07-13 19:19:29.250126,,,,,,
0,15/07/2021,2021-07-15 21:08:48.615955,2021-07-15 22:13:27.978234,,,,,,
0,20/07/2021,2021-07-20 16:10:56.430453,2021-07-20 16:57:46.383024,,,,,,
0,22/07/2021,2021-07-22 08:48:50.135509,2021-07-22 09:28:51.097422,,,,,,
0,23/07/2021,2021-07-23 10:04:25.658538,2021-07-23 10:33:05.630678,,,,,,
0,17/08/2021,2021-08-17 10:33:54.647014,2021-08-17 11:06:24.615899,,,,,,
0,21/08/2021,2021-08-21 18:29:04.129974,2021-08-21 18:59:24.101767,2021-08-21 19:18:54.083656,2021-08-21 19:48:54.055400,,,,
0,22/08/2021,2021-08-22 00:21:26.243152,2021-08-22 00:46:45.216380,2021-08-22 05:56:15.922355,2021-08-22 06:28:55.890525,,,,
0,28/08/2021,2021-08-28 10:08:37.869521,2021-08-28 10:44:44.434424,2021-08-28 11:16:04.406104,2021-08-28 11:24:34.398776,,,,
0,30/08/2021,2021-08-30 01:16:50.743467,2021-08-30 01:51:57.715067,2021-08-30 14:42:14.962564,2021-08-30 15:16:04.933705,,,,
0,07/09/2021,2021-09-07 04:17:59.367051,2021-09-07 04:43:18.343140,2021-09-07 05:15:09.318902,2021-09-07 05:33:07.303762,,,,
0,20/09/2021,2021-09-20 20:37:52.841710,2021-09-20 20:59:42.810989,2021-09-20 21:34:52.764001,2021-09-20 22:12:52.715186,2021-09-20 22:27:22.697378,2021-09-20 22:45:02.692240,,
0,25/10/2021,2021-10-25 00:53:37.034649,2021-10-25 01:31:10.996650,2021-10-25 15:57:53.565019,2021-10-25 16:15:33.548553,2021-10-25 19:49:12.842610,2021-10-25 20:19:53.301197,2021-10-25 21:54:13.205088,2021-10-25 22:21:13.178189
0,27/10/2021,2021-10-27 00:29:13.722128,2021-10-27 00:55:21.695140,,,,,,
0,28/10/2021,2021-10-28 15:23:54.182198,2021-10-28 16:38:44.129818,,,,,,
