,date,B1i,B1f,B2i,B2f,B3i,B3f,B4i,B4f
0,11/07/2020,2020-07-11 02:23:03.470763,2020-07-11 02:45:12.162450,,,,,,
1,21/07/2020,2020-07-21 06:20:04.168001,2020-07-21 06:40:41.209209,,,,,,
2,28/10/2020,2020-10-28 12:50:02.299748,2020-10-28 13:30:30.575453,,,,,,
3,17/11/2020,2020-11-17 15:24:52.975205,2020-11-17 15:47:47.436750,2020-11-17 18:12:52.494221,2020-11-17 18:52:34.925233,,,,
4,18/11/2020,2020-11-18 19:13:20.915980,2020-11-18 19:26:19.778744,2020-11-18 19:46:56.818987,2020-11-18 20:05:16.403005,,,,
5,19/11/2020,2020-11-19 06:04:45.842425,2020-11-19 06:39:53.358976,2020-11-19 15:58:50.667995,2020-11-19 16:18:41.902451,,,,
6,21/11/2020,2020-11-21 09:37:24.459763,2020-11-21 09:58:47.307764,2020-11-21 10:07:57.099752,2020-11-21 10:20:55.999450,2020-11-21 10:40:47.196007,2020-11-21 11:09:48.222452,2020-11-21 11:26:36.155991,2020-11-21 12:00:57.866755
7,23/11/2020,2020-11-23 22:54:12.727224,2020-11-23 23:21:42.103230,,,,,,
8,24/11/2020,2020-11-24 00:54:34.459206,2020-11-24 01:36:34.347449,2020-11-24 19:07:13.090979,2020-11-24 20:01:26.036240,,,,
9,27/11/2020,2020-11-27 18:52:03.975290,2020-11-27 19:03:31.224510,,,,,,
10,08/12/2020,2020-12-08 19:10:04.419842,2020-12-08 19:33:44.725074,,,,,,
11,06/06/2021,2021-06-06 11:25:48.916054,2021-06-06 11:44:54.306824,,,,,,
12,23/06/2021,2021-06-23 07:03:58.723053,2021-06-23 07:42:09.541527,,,,,,
13,28/06/2021,2021-06-28 09:23:50.167057,2021-06-28 09:57:26.071069,,,,,,
14,12/07/2021,2021-07-12 09:38:36.560277,2021-07-12 10:03:48.479053,,,,,,
15,13/07/2021,2021-07-13 18:24:10.805528,2021-07-13 18:57:00.865855,,,,,,
16,15/07/2021,2021-07-15 21:07:57.199826,2021-07-15 21:53:46.159850,,,,,,
17,20/07/2021,2021-07-20 16:14:05.158830,2021-07-20 16:46:55.256050,,,,,,
18,22/07/2021,2021-07-22 08:40:06.459300,2021-07-22 09:18:17.240840,,,,,,
19,23/07/2021,2021-07-23 10:01:15.777085,2021-07-23 10:28:45.153051,,,,,,
20,17/08/2021,2021-08-17 10:31:45.196533,2021-08-17 10:54:39.658078,,,,,,
21,21/08/2021,2021-08-21 18:27:26.692054,2021-08-21 18:52:38.610830,2021-08-21 19:14:01.458830,2021-08-21 19:44:34.098819,,,,
22,22/08/2021,2021-08-22 00:23:16.964541,2021-08-22 00:40:50.704832,2021-08-22 05:54:48.622852,2021-08-22 06:25:21.262841,,,,
23,28/08/2021,2021-08-28 10:07:04.188311,2021-08-28 10:44:29.163059,2021-08-28 11:08:55.275082,2021-08-28 11:31:03.928829,,,,
24,30/08/2021,2021-08-30 01:15:12.238289,2021-08-30 01:42:41.614296,2021-08-30 14:38:30.665292,2021-08-30 15:03:42.584067,,,,
25,07/09/2021,2021-09-07 04:17:38.201529,2021-09-07 04:34:26.135068,2021-09-07 05:11:05.302058,2021-09-07 05:30:10.692827,,,,
26,20/09/2021,2021-09-20 20:33:34.062837,2021-09-20 20:58:46.018506,2021-09-20 21:39:14.257277,2021-09-20 21:57:33.841294,2021-09-20 22:31:09.745307,2021-09-20 22:44:08.608071,,
27,25/10/2021,2021-10-25 00:49:27.940852,2021-10-25 01:23:07.736535,2021-10-25 15:55:55.390853,2021-10-25 16:07:22.640072,2021-10-25 19:49:35.104308,2021-10-25 20:10:57.952309,2021-10-25 21:51:45.663300,2021-10-25 22:18:29.232514
28,27/10/2021,2021-10-27 00:28:26.919529,2021-10-27 00:48:18.116085,,,,,,
29,28/10/2021,2021-10-28 15:24:22.262075,2021-10-28 16:26:59.192532,,,,,,
30,12/11/2021,2021-11-12 19:26:08.834285,2021-11-12 19:43:42.611511,,,,,,
